"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated number of housing units, between 2015-2019."
"98022","98022","=""98022""","9552"
"98045","98045","=""98045""","6073"
"98288","98288","=""98288""","456"
"98224","98224","=""98224""","293"
"98019","98019","=""98019""","4315"
"98065","98065","=""98065""","5375"
"98038","98038","=""98038""","12613"
"98027","98027","=""98027""","12582"
"98051","98051","=""98051""","1634"
"98070","98070","=""98070""","5641"
"98014","98014","=""98014""","2882"
"98092","98092","=""98092""","16971"
"98042","98042","=""98042""","17421"
"98053","98053","=""98053""","8628"
"98024","98024","=""98024""","2550"
"98052","98052","=""98052""","29639"
"98059","98059","=""98059""","14241"
"98058","98058","=""98058""","16522"
"98001","98001","=""98001""","11836"
"98072","98072","=""98072""","9769"
"98077","98077","=""98077""","4657"
"98032","98032","=""98032""","14792"
"98010","98010","=""98010""","2272"
"98040","98040","=""98040""","11001"
"98074","98074","=""98074""","9743"
"98003","98003","=""98003""","19367"
"98023","98023","=""98023""","18621"
"98006","98006","=""98006""","14262"
"98075","98075","=""98075""","8178"
"98033","98033","=""98033""","17725"
"98034","98034","=""98034""","18469"
"98056","98056","=""98056""","14395"
"98168","98168","=""98168""","12554"
"98029","98029","=""98029""","11717"
"98118","98118","=""98118""","18525"
"98115","98115","=""98115""","23641"
"98004","98004","=""98004""","19261"
"98198","98198","=""98198""","14821"
"98008","98008","=""98008""","9729"
"98155","98155","=""98155""","14018"
"98011","98011","=""98011""","14040"
"98108","98108","=""98108""","9101"
"98188","98188","=""98188""","9906"
"98031","98031","=""98031""","12629"
"98005","98005","=""98005""","8317"
"98133","98133","=""98133""","22864"
"98002","98002","=""98002""","14535"
"98166","98166","=""98166""","9215"
"98030","98030","=""98030""","13326"
"98177","98177","=""98177""","8580"
"98125","98125","=""98125""","20437"
"98105","98105","=""98105""","18713"
"98028","98028","=""98028""","9169"
"98057","98057","=""98057""","6423"
"98178","98178","=""98178""","10443"
"98106","98106","=""98106""","11537"
"98039","98039","=""98039""","1273"
"98199","98199","=""98199""","10333"
"98146","98146","=""98146""","10927"
"98103","98103","=""98103""","26419"
"98144","98144","=""98144""","14795"
"98055","98055","=""98055""","10272"
"98112","98112","=""98112""","12040"
"98117","98117","=""98117""","15465"
"98007","98007","=""98007""","12452"
"98134","98134","=""98134""","243"
"98126","98126","=""98126""","10966"
"98116","98116","=""98116""","13808"
"98122","98122","=""98122""","21293"
"98050","98050","=""98050""","179"
"98136","98136","=""98136""","7987"
"98148","98148","=""98148""","4849"
"98119","98119","=""98119""","13716"
"98107","98107","=""98107""","14772"
"98109","98109","=""98109""","19137"
"98047","98047","=""98047""","2405"
"98158","98158","=""98158""","0"
"98102","98102","=""98102""","16669"
"98104","98104","=""98104""","9383"
"98121","98121","=""98121""","14064"
"98101","98101","=""98101""","10945"
"98195","98195","=""98195""","0"
"98164","98164","=""98164""","181"
"98154","98154","=""98154""","0"
"98174","98174","=""98174""","0"

"Location: King (County, 2010)"

"Zip Code Tabulation Area Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"