"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated median value of an owner-occupied home, between 2015-2"
"98001","98001","=""98001""","339600"
"98002","98002","=""98002""","238100"
"98003","98003","=""98003""","287300"
"98004","98004","=""98004""","1207200"
"98005","98005","=""98005""","839100"
"98006","98006","=""98006""","863000"
"98007","98007","=""98007""","629300"
"98008","98008","=""98008""","715300"
"98010","98010","=""98010""","443800"
"98011","98011","=""98011""","543400"
"98014","98014","=""98014""","556500"
"98019","98019","=""98019""","500000"
"98022","98022","=""98022""","364700"
"98023","98023","=""98023""","346800"
"98024","98024","=""98024""","713100"
"98027","98027","=""98027""","661300"
"98028","98028","=""98028""","573700"
"98029","98029","=""98029""","660300"
"98030","98030","=""98030""","349800"
"98031","98031","=""98031""","355400"
"98032","98032","=""98032""","299700"
"98033","98033","=""98033""","836300"
"98034","98034","=""98034""","557600"
"98038","98038","=""98038""","439600"
"98039","98039","=""98039""","2000001"
"98040","98040","=""98040""","1218200"
"98042","98042","=""98042""","380600"
"98045","98045","=""98045""","488400"
"98047","98047","=""98047""","279000"
"98050","98050","=""98050""","N/A"
"98051","98051","=""98051""","468700"
"98052","98052","=""98052""","725300"
"98053","98053","=""98053""","776400"
"98055","98055","=""98055""","375000"
"98056","98056","=""98056""","487800"
"98057","98057","=""98057""","364800"
"98058","98058","=""98058""","403100"
"98059","98059","=""98059""","538000"
"98065","98065","=""98065""","605800"
"98070","98070","=""98070""","524200"
"98072","98072","=""98072""","674200"
"98074","98074","=""98074""","810800"
"98075","98075","=""98075""","913100"
"98077","98077","=""98077""","803300"
"98092","98092","=""98092""","379300"
"98101","98101","=""98101""","661700"
"98102","98102","=""98102""","762500"
"98103","98103","=""98103""","739100"
"98104","98104","=""98104""","592900"
"98105","98105","=""98105""","895300"
"98106","98106","=""98106""","432400"
"98107","98107","=""98107""","713400"
"98108","98108","=""98108""","459400"
"98109","98109","=""98109""","727300"
"98112","98112","=""98112""","998200"
"98115","98115","=""98115""","751900"
"98116","98116","=""98116""","709300"
"98117","98117","=""98117""","706400"
"98118","98118","=""98118""","487100"
"98119","98119","=""98119""","858500"
"98121","98121","=""98121""","613300"
"98122","98122","=""98122""","665900"
"98125","98125","=""98125""","558900"
"98126","98126","=""98126""","563100"
"98133","98133","=""98133""","494700"
"98134","98134","=""98134""","377000"
"98136","98136","=""98136""","673600"
"98144","98144","=""98144""","667000"
"98146","98146","=""98146""","429300"
"98148","98148","=""98148""","363200"
"98154","98154","=""98154""","N/A"
"98155","98155","=""98155""","528000"
"98158","98158","=""98158""","N/A"
"98164","98164","=""98164""","678000"
"98166","98166","=""98166""","513900"
"98168","98168","=""98168""","330300"
"98174","98174","=""98174""","N/A"
"98177","98177","=""98177""","732800"
"98178","98178","=""98178""","397200"
"98188","98188","=""98188""","314600"
"98195","98195","=""98195""","N/A"
"98198","98198","=""98198""","352900"
"98199","98199","=""98199""","835500"
"98224","98224","=""98224""","219600"
"98288","98288","=""98288""","281300"

"Location: King (County, 2010)"

"Zip Code Tabulation Area Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"