"Zip Code Tabulation Area","FIPS Code","Formatted FIPS","Estimated median income of a household, between 2015-2019."
"98022","98022","=""98022""","76929"
"98045","98045","=""98045""","112568"
"98288","98288","=""98288""","46500"
"98224","98224","=""98224""","43750"
"98019","98019","=""98019""","139831"
"98065","98065","=""98065""","144320"
"98038","98038","=""98038""","111689"
"98027","98027","=""98027""","113047"
"98051","98051","=""98051""","87500"
"98070","98070","=""98070""","78966"
"98014","98014","=""98014""","112384"
"98092","98092","=""98092""","92376"
"98042","98042","=""98042""","104306"
"98053","98053","=""98053""","145453"
"98024","98024","=""98024""","141475"
"98052","98052","=""98052""","135287"
"98059","98059","=""98059""","105872"
"98058","98058","=""98058""","92225"
"98001","98001","=""98001""","90287"
"98072","98072","=""98072""","117704"
"98077","98077","=""98077""","166400"
"98032","98032","=""98032""","63562"
"98010","98010","=""98010""","123415"
"98040","98040","=""98040""","147566"
"98074","98074","=""98074""","188900"
"98003","98003","=""98003""","59391"
"98023","98023","=""98023""","79434"
"98006","98006","=""98006""","144247"
"98075","98075","=""98075""","178697"
"98033","98033","=""98033""","133744"
"98034","98034","=""98034""","101674"
"98056","98056","=""98056""","85451"
"98168","98168","=""98168""","59120"
"98029","98029","=""98029""","129185"
"98118","98118","=""98118""","82216"
"98115","98115","=""98115""","111569"
"98004","98004","=""98004""","134580"
"98198","98198","=""98198""","66906"
"98008","98008","=""98008""","117775"
"98155","98155","=""98155""","94054"
"98011","98011","=""98011""","98268"
"98108","98108","=""98108""","61547"
"98188","98188","=""98188""","60586"
"98031","98031","=""98031""","83324"
"98005","98005","=""98005""","120913"
"98133","98133","=""98133""","68994"
"98002","98002","=""98002""","57317"
"98166","98166","=""98166""","83615"
"98030","98030","=""98030""","64666"
"98177","98177","=""98177""","123672"
"98125","98125","=""98125""","70744"
"98105","98105","=""98105""","62582"
"98028","98028","=""98028""","110058"
"98057","98057","=""98057""","57172"
"98178","98178","=""98178""","80283"
"98106","98106","=""98106""","69110"
"98039","98039","=""98039""","212337"
"98199","98199","=""98199""","114551"
"98146","98146","=""98146""","78750"
"98103","98103","=""98103""","105177"
"98144","98144","=""98144""","78414"
"98055","98055","=""98055""","76765"
"98112","98112","=""98112""","118305"
"98117","98117","=""98117""","116871"
"98007","98007","=""98007""","96545"
"98134","98134","=""98134""","83472"
"98126","98126","=""98126""","86983"
"98116","98116","=""98116""","121208"
"98122","98122","=""98122""","79609"
"98050","98050","=""98050""","139161"
"98136","98136","=""98136""","113750"
"98148","98148","=""98148""","61455"
"98119","98119","=""98119""","96768"
"98107","98107","=""98107""","100178"
"98109","98109","=""98109""","106393"
"98047","98047","=""98047""","59464"
"98158","98158","=""98158""","N/A"
"98102","98102","=""98102""","91466"
"98104","98104","=""98104""","53407"
"98121","98121","=""98121""","115323"
"98101","98101","=""98101""","80389"
"98195","98195","=""98195""","N/A"
"98164","98164","=""98164""","157829"
"98154","98154","=""98154""","N/A"
"98174","98174","=""98174""","N/A"

"Location: King (County, 2010)"

"Zip Code Tabulation Area Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"